sample,group,tmin,tmax
PN573i2,PN,0.737214,0.797611
PN504a2,PN,17.617777,18.071971
,,18.270813,18.519795
PN548i1,PN,10.149731,10.266692
PN649i1,PN,20.154776,20.270519
PN594a1,PN,8.783666,8.932598
,,17.371049,17.694461
PN655a1,PN,1.834521,2.039514
,,2.565257,2.64083
,,2.715266,2.922665
,,5.164846,5.56036
,,6.669953,6.744715
,,9.1136,9.20042
,,9.5887,9.993861
,,10.762072,11.140705
,,13.650785,13.891952
,,14.806876,14.896108
,,15.952421,16.104357
,,16.40007,16.515671
,,18.390388,18.505989
,,19.260603,19.604194
,,20.451536,20.852927
,,26.417315,26.748061
,,28.117488,28.342316
,,28.480278,28.679558
,,29.194854,29.285513
,,29.613896,29.700525
,,30.24246,30.53458
PN634a1,PN,2.964609,3.156757
,,3.427148,3.662931
,,5.846931,6.083127
,,21.728391,21.876962
PN624i2,PN,12.638346,12.923655
PN609a1,PN,17.537495,17.612804
PN645i1,PN,9.482085,9.82695
PN594a2,PN,15.78748,16.096642
PN655a2,PN,12.126468,12.217206
,,13.042556,13.275504
,,16.082743,17.419852
,,19.226766,19.699319
,,23.988395,24.25152
,,25.169776,26.313568
PN634a2,PN,4.859969,5.592427
,,8.976194,9.958262
,,12.411451,15.662665
,,16.915145,21.608766
PN647i2,PN,5.170815,5.259781
,,5.900336,5.972877
PN609a2,PN,8.871218,8.927281
PN648a1,PN,1.856539,1.937556
,,4.690368,4.872545
,,6.225962,6.756362
,,6.890071,8.33182
,,8.642191,11.005955
,,11.256409,11.51204
,,11.789924,11.881999
,,12.807833,12.971855
,,14.425999,14.626471
,,15.115104,15.303581
,,15.811184,16.091758
,,16.47891,16.748775
,,17.226393,17.389169
,,17.784992,18.572418
PN651a1,PN,6.377675,7.309583
PN618i1,PN,17.096595,17.417179
,,25.424584,25.684398
PN646i1,PN,15.6569,15.882188
PN561i2,PN,12.68265,12.89349
PN506i1,PN,17.584765,17.721371
,,19.259842,19.486742
,,19.917505,19.977144
,,20.092596,20.432321
PN543i1,PN,14.682002,14.869564
PN548a1,PN,4.164789,4.224029
PN649a1,PN,24.027367,24.163712
PN575a1,PN,2.215475,2.445784
,,3.956405,4.244081
,,5.161687,5.305185
,,5.920523,6.234272
,,6.999129,7.679048
,,7.767876,7.83768
,,8.078037,8.418456
,,8.537902,8.944015
,,9.149623,15.42492
PN530a1,PN,10.491333,10.891192
PN548a2,PN,13.955454,14.24968
,,16.031488,17.039854
PN652a1,PN,3.496054,3.719027
,,9.526073,9.96926
,,12.89213,13.492993
,,15.456774,16.132572
PN530a2,PN,9.093934,9.848729
PN575a2,PN,11.473922,11.552534
,,13.711163,14.096968
,,14.678582,17.983897
PN558i1,PN,17.668869,17.743354
PN504i1,PN,8.578442,8.6959
MSA17a2,MSA,2.276927,2.774309
MSA52a2,MSA,10.768234,10.921937
MSA74a1,MSA,0.34666,1.108937
,,2.03458,2.446844
,,2.586865,2.834566
,,2.92123,2.970364
,,3.327044,3.501748
MSA21a,MSA,1.190718,8.557006
MSA64i2,MSA,6.184539,7.19146
MSA21i2,MSA,3.703534,3.976229
,,4.342894,6.243219
,,6.554181,7.026383
MSA42i1,MSA,14.334014,14.681635
,,18.827289,19.089683
MSA50a1,MSA,1.463478,1.674253
,,2.663229,2.851772
,,3.949315,4.366961
,,4.834377,4.974998
,,5.507648,5.746089
